PRODBR2;CAPITAL K;VALORCOM MP;PERTOTAL L;EELEC E
1421000;990680;611704;18;16513
1466495;529187;925866;16;54322
299516;344398;143084;15;8559
24747399;4569355;11083116;88;354861
29482553;20634020;11781170;158;1542314
2014542;2536014;0;5;113688
1104342;132244;447892;54;35781
5705309;294709;3159328;21;47204
65670422;28994544;31784281;127;3645907
56245707;3019343;30455077;190;423530
36171821;3458042;7086659;54;290122
21890695;2471665;3108513;67;17448
48861681;67558197;19037873;104;10346235
44175526;25057121;19109078;94;3141578
4760000;1542195;1094596;104;187920
25933704;4958637;8480956;180;613272
2503482;159037;1161160;9;3585
9104347;477494;3949191;68;306234
53183988;26145699;27787154;329;583206
30526327;43725254;22823032;93;2271743
5517858;1773062;2833971;32;21518
23415683;10150336;7681581;138;946124
4545302;1047972;2344820;99;374290
5368651;622430;1970353;22;4153
5368346;2173695;1829952;57;38471
9498981;5157002;2474542;52;378549
3805109;508032;2102114;64;23322
3372091;436870;1447641;74;96619
2715941;324608;1365210;44;34932
4308609;4416160;545973;72;2772000
3076181;753399;1470037;26;734091
2271007;263062;1227857;22;34469
2213852;25045;916222;11;9039
2603548;864931;534743;45;49425
2066264;576051;1714555;17;20747
2851954;5916100;815506;13;266140
4793048;1014550;3042705;31;65227
93761;-247519;38192;2;21016
1290471;1650160;431881;14;62076
2326855;3450342;483676;47;1014096
125547;475066;29360;13;125255
891517;447387;123678;47;1252
879272;2537751;793414;7;9540
32959997;9979535;11300262;530;387562
1296779;1369535;497123;31;301997
2307769;4910639;3343106;253;41570
18000250;11934853;10600340;208;941760
6960358;5947496;3777842;209;85411
1000021;13662965;478152;83;223767
6692411;1450588;5145343;708;993465
7117026;11276854;960267;208;583110
2973734;428163;154022;185;1929
30242158;7893849;13419519;207;330550
30545691;26395644;1254561;148;1
12718993;6798294;2883219;228;2025855
4989816;1332785;857401;119;253122
843700;133189;465860;7;42727
12323015;5278613;7916892;57;578612
7140000;2513882;1511000;90;12028
42246612;9330074;28678911;54;2170376
2204718;451345;791409;46;117807
7728055;2843688;2874779;190;1190284
833518;1599902;535846;17;45279
6697871;2302632;2624831;62;436947
7610426;6949584;793664;120;1706360
2939539;908453;1538308;39;18125
2849223;2277336;1312387;80;864192
4176527;72860;1979460;51;9811
18225503;18602707;11874459;66;941042
8948488;759774;4802094;32;31890
1307541;896658;514894;67;11468
5227201;1452506;1287315;105;162382
4041707;4150933;1758904;40;61706
5593375;377100;3038063;30;184797
46436777;43616370;33533147;179;3375037
2580068;4103459;580294;83;226348
69264566;65767585;36872848;446;11886346
2196652;3008532;907301;53;777137
1574800;249334;1145636;70;126791
41669406;7746367;32172272;57;2199900
40073065;5308864;30255554;99;1936521
11394215;23551306;6057753;144;2120500
3134206;40117;1442567;48;38752
6992569;2894371;3419678;62;324824
1227620;3374569;134096;17;51600
2872150;830751;618025;28;222676
12994949;1149303;6490848;110;198995
2717280;2081027;1533367;48;50064
7987431;64507;165021;37;90813
3438934;1910520;2179748;47;216304
1615727;0;640912;34;25937
1394266;140348;685034;4;11727
4109679;202039;191615;88;17205
18899229;15872823;11478055;162;2725699
1273773;480308;446188;28;157120
53931298;2762503;51200376;32;457441
3948929;1647714;2485444;90;165023
1482638;313530;405833;53;17821
3752164;212364;1443775;45;35220
2977201;283438;1240968;43;275452
3067359;500107;1113677;16;7970
8851167;1290376;6766086;7;18324
2736149;856493;960664;19;27934
3565699;910724;1843641;37;63824
7399561;2749367;3509416;49;696440
1976650;705113;1185997;39;57947
1627048;81371;1379180;29;16003
1391019;379444;0;35;15600
871795;637301;408583;19;63595
5846348;505468;4387366;33;158960
3211775;908789;1266055;49;63705
1396387;1288945;465363;20;128380
4244432;12726446;1802175;78;129113
6057561;2306396;2116533;97;219100
2475976;-402879;857536;29;6084
4773213;647608;2315895;22;10189
7463675;489642;3957237;89;58506
1315960;39694;335120;2;38677
998325;628917;622016;25;19211
1940258;44830;1000927;25;162215
6478817;1131634;2443476;90;17100
6397440;799605;2222344;76;95469
1631100;797959;229747;26;41958
1021033;778741;331500;17;19456
3012692;547767;1262465;25;158976
2469085;1542627;962498;24;1023396
1296092;398486;386745;22;25997
6205578;3330351;2134227;69;1006895
44183225;8790458;14616936;275;4957990
4561818;201872;2048596;25;17478
2779893;497641;573975;27;31500
1165665;310860;175908;16;52000
377850;372814;176927;10;470
1678441;1138584;539693;24;113836
1272683;974083;976349;12;52971
828675;11524;495660;20;16660
1009614;393632;345907;19;35500
6175843;514918;4726438;35;17105
4393917;1935439;0;134;52015
4103537;473631;2626623;16;203384
3164377;310450;1698644;19;18353
1215565;375670;193514;21;14492
21445741;15926862;8820540;153;163925
80805474;15359701;75931337;112;4619656
1552306;257424;799969;16;5845
2840251;887840;1632901;30;20000
1076516;753795;809620;23;38420
1790466;454839;1783345;26;43830
1177464;385355;891579;14;330355
922114;257718;266455;6;55566
88107945;15736891;74633975;56;2306987
66338441;19573299;46843324;211;2315971
2103034;614586;346140;16;204000
155744;286985;146445;3;11300
515013;283538;223546;3;1440
48900580;2113060;43177600;61;26304
3323650;794458;1397767;12;9856
2977201;283438;1240968;43;275452
605699;385582;428931;20;198333
243440;701632;180737;4;7021
260938;1534964;91696;15;17936
4764944;36816;3011066;12;6312
1142613;798959;567863;21;11267
1304160;157850;867138;12;142060
1203330;264422;393879;13;39424
16736714;9652249;2726038;21;293538
7387441;1393218;3385724;58;135180
25919192;4939370;14677321;53;654005
1689857;897591;941032;30;15228
4332899;167540;1127043;20;52110
2927545;2106898;71910;17;22548
1986558;582727;521604;51;83644
1815799;877683;21300;49;1495550
507946;216877;370461;8;23676
11204683;9526010;2956120;71;732522
469866;537768;50634;7;17748
7511943;405083;7511943;36;82056
7019892;995723;3820655;48;71582
4371414;633783;1;15;6696
635898;176570;201161;20;9724
1128479;1009341;548838;13;186457
626065;183454;212734;7;21700
84047;100330;8939;6;17437
20851557;9224964;13847160;101;726387
2639301;526761;1207161;20;19056
446226;298110;201522;8;10500
20746461;13875520;6269710;87;1104847
630521;541983;193031;8;6180
546111;162541;117083;7;13460
587656;699757;72772;13;35760
368487;183817;149664;8;21371
23639;-303322;0;8;21120
3335180;1252699;60759;5;28859
3900000;160276;1720000;13;40750
1607576;531372;897979;12;4356
8250659;6813035;3161048;26;621326
559359;105652;160663;12;7707
397324;303975;193025;5;5308
5036227;306833;562726;8;64131
1124991;619193;191968;19;41222
2605378;12383;881233;6;1825
3768640;2665947;1690443;32;158400
7546262;10198560;3304382;89;409014
2291936;423307;0;7;4404
1414160;-43115;892412;6;5472
517091;173545;308205;4;2088
386631;368266;186978;9;2580
318000;609675;174827;7;132502
1432775;235868;30088;9;2112
390469;246316;23580;5;4267
80779;83236;17523;2;9364
7949323;17680403;0;90;4856
19329550;2124315;6753095;339;498840
2620227;440639;0;16;13704
8318749;254351;3691431;15;64774
2541209;112169;1712386;9;9336
1823387;749755;1111950;18;6903
2310491;756780;932373;41;50061
1775880;338311;1052150;18;49318
972815;405177;113207;5;7707
770000;436000;21000;9;991
949208;454550;413422;9;20166
634303;285734;321714;12;8096
474264;154561;136563;5;2542
114282;295953;34880;3;19714
521331;133966;408545;13;16163
186059;20126;0;2;319
6663785;2358672;2692307;91;408085
4640040;482642;1526332;63;57040
3602009;1941762;1345086;32;74472
141536;4020718;67200;4;460
1949408;1548419;659616;17;117176
168128;28002;89690;35;389
2751870;2203484;2262233;27;114738
3974667;997631;1040311;11;67487
667269;408085;405491;12;14098
1488081;239263;1034968;6;2514
1457848;201294;160309;14;34714
3686494;-214874;1993018;26;186854
1392771;189253;977900;3;38777
734720;261590;315344;10;4870
477676;610789;238238;4;11160
473599;6755;234302;2;3488
420411;58347;273812;2;1283
174582;252153;17913;5;8
417570;225603;152731;8;2038
2046328;777298;105623;12;10800
2657959;311552;1185872;28;291878
709324;274256;212700;24;1674
883091;57330;157630;18;320
1259719;915030;199781;12;5736
694000;736484;245600;3;8676
858237;93742;268033;3;6382
398281;103795;398281;3;3820
250057;163380;62917;4;5460
627159;39094;0;6;273776
131469;22428;53795;3;3270
39468223;6023548;40524182;50;411870
5946595;611356;1315743;76;63235
2395524;1467458;1373678;17;32585
61858868;16408844;36776720;65;3171405
1675299;195066;933496;20;5558
1079565;89740;262638;29;33241
1431848;21113;419120;10;3571
126010;132206;48241;12;910
159045;106745;27380;3;4360
1127399;521987;510338;38;18259
11471166;3617251;4215740;80;1476562
25614563;13448150;15001811;200;1610920
6948996;567405;3048740;116;33520
6291025;3521556;2901914;23;1916187
3279549;791509;2346773;9;19166
1830313;2316345;824467;11;10463
710693;30879;361912;3;1262
1702926;687614;1239750;13;75882
1567785;112682;617308;22;18643
826419;107862;208270;13;13370
628152;363549;417654;9;10136
70728454;17113792;44152812;310;1600734
97578061;20692717;47075616;29;68566
66338441;19573299;46843324;211;2315971
120602493;39413905;117379652;111;544530
258650581;6759577;44744688;812;710387
23754748;66147791;13629517;120;5746821
45059759;28426204;33038684;227;2347701
97143014;62011286;46184824;733;13528461
51604143;14338279;32815230;469;462513
41258440;11449858;35889849;108;1732248
26258934;7620291;11793475;247;1791359
51043167;2991726;13478426;190;178508
44292331;5913962;22426181;480;1713992
23002702;14939045;6977332;115;1723185
86552437;164619786;20689485;259;5946854
32817905;7785715;19847258;155;1061881
59138955;13820214;45314503;104;2508396
14375052;12579185;6783376;80;886135
28639082;58397088;4721779;218;2391489
16738952;90669;0;820;1437008
14713787;3590411;1219656;142;1574002
22829361;10315010;14904890;52;953561
18856149;5325897;10754531;44;88975
15438528;163258;5160187;62;159000
14732745;26017209;5008482;108;2611000
17193444;4723003;11718995;47;621720
9293488;584117;6240622;24;252000
189373916;178272460;39437710;774;35959634
12508657;3318617;7470169;54;287538
53105842;35365462;20409540;256;1622450
44140932;16002099;26572461;226;4075002
9277470;4906207;7107429;11;133296
12102944;8556902;4458680;112;226380
13089413;21667742;6628422;101;4242496
10278242;329268;2390919;98;83075
11076647;531996;7453546;24;40226
7046160;3917906;2119408;129;65000
9424120;9341981;4341833;49;2952251
11746166;863368;9996789;7;359635
2425045;306080;917963;41;61836
87677274;21737206;62051575;31;806993
503510213;163208350;334125904;653;8786574
78884984;59984872;45397802;348;8317985
143034040;411169203;52069266;425;30383325
887190;10038913;718465;13;0
1129095;6090912;838802;14;26769
22283961;4627166;6552902;106;807035
72590468;610627428;8173337;98;14128900
1148683;1989562;446974;23;607867
62845073;102940637;70870483;71;1384202
187586415;212907875;101958594;241;40295387
1329288;356714;820711;14;55595
39472009;3899605;10749621;388;2373122
147541525;10894120;121486968;204;4612685
12122028;4047451;253334;116;199535
2674665;1002193;64352;15;35160
96544454;29662543;43640873;495;2218844
4580701;2016309;2596252;21;241570
24495062;12158739;14347610;67;299621
2939727;1772796;2771126;16;12273
14113037;5727873;8135698;54;291330
12717313;841750;6657701;22;24481
5744123;1168505;3425808;19;87296
2896085;1457967;69099;23;316779
8326625;3930341;2695430;87;5031
6468915;1805202;3778532;24;107974
